name,ra1,ra2,ra3,dec1,dec2,dec3,vmag
HIP 50801 ,10,22,19.8033,+41,29,57.961,3.06
HIP 94376 ,19,12,33.155,+67,39,40.741,3.07
HIP 89642 ,18,17,37.7292,-36,45,40.612,3.1
HIP 52943 ,10,49,37.4321,-16,11,38.875,3.11
HIP 43813 ,8,55,23.6848,+05,56,43.9,3.11
HIP 56561 ,11,35,46.9283,-63,1,11.37,3.11
HIP 101772,20,37,33.9897,-47,17,29.985,3.11
HIP 83081 ,16,58,37.2308,-55,59,24.198,3.12
HIP 84379 ,17,15,1.9242,+24,50,22.515,3.12
HIP 27628 ,5,50,57.5528,-35,46,9.452,3.12
HIP 44127 ,8,59,12.8387,+48,2,32.458,3.12
HIP 73334 ,14,59,9.699,-42,6,14.911,3.13
HIP 45860 ,9,21,3.4588,+34,23,33.093,3.14
HIP 46701 ,9,31,13.3538,-57,2,3.81,3.16
HIP 84380 ,17,15,2.8543,+36,48,32.959,3.16
HIP 46853 ,9,32,52.3253,+51,40,42.967,3.17
HIP 83895 ,17,8,47.2251,+65,42,52.692,3.17
HIP 31685 ,6,37,45.6717,-43,11,45.326,3.17
HIP 92041 ,18,45,39.353,-26,59,26.806,3.17
HIP 23767 ,5,6,30.869,+41,14,4.707,3.18
HIP 71908 ,14,42,30.685,-64,58,28.45,3.18
HIP 83000 ,16,57,40.2706,+09,22,30.203,3.19
HIP 22449 ,4,49,50.1382,+06,57,40.491,3.19
HIP 87261 ,17,49,51.4512,-37,2,36.136,3.19
HIP 23685 ,5,5,27.6521,-22,22,15.084,3.19
HIP 104732,21,12,56.1815,+30,13,37.493,3.21
HIP 116727,23,39,20.982,+77,37,55.081,3.21
HIP 75141 ,15,21,22.3364,-40,38,50.854,3.22
HIP 79882 ,16,18,19.2408,-4,41,33.389,3.23
HIP 89962 ,18,21,18.9206,-2,53,49.639,3.23
HIP 106032,21,28,39.575,+70,33,38.501,3.23
HIP 99473 ,20,11,18.2648,0,49,17.312,3.24
HIP 32607 ,6,48,11.5371,-61,56,31.128,3.24
HIP 73714 ,15,4,4.2619,-25,16,54.682,3.25
HIP 36377 ,7,29,13.8783,-43,18,6.809,3.25
HIP 93194 ,18,58,56.6246,+32,41,22.391,3.25
HIP 68895 ,14,6,22.269,-26,40,55.268,3.25
HIP 17678 ,3,47,14.2315,-74,14,21.273,3.26
HIP 3092  ,0,39,19.5974,+30,51,40.413,3.27
HIP 84970 ,17,22,0.5841,-24,59,58.157,3.27
HIP 113136,22,54,39.0392,-15,49,14.736,3.27
HIP 24305 ,5,12,55.8731,-16,12,19.544,3.29
HIP 75458 ,15,24,55.7841,+58,57,57.685,3.29
HIP 50099 ,10,13,44.2789,-70,2,16.518,3.29
HIP 51576 ,10,32,1.4838,-61,41,7.297,3.3
HIP 21281 ,4,33,59.7184,-55,2,42.02,3.3
HIP 29655 ,6,14,52.6967,+22,30,24.566,3.31
HIP 85267 ,17,25,23.6599,-56,22,39.678,3.31
HIP 88048 ,17,59,1.5976,-9,46,24.059,3.32
HIP 59774 ,12,15,25.4491,+57,1,57.353,3.32
HIP 93864 ,19,6,56.4423,-27,40,11.331,3.32
HIP 14354 ,3,5,10.497,+38,50,25.919,3.32
HIP 84143 ,17,12,9.1759,-43,14,18.565,3.32
HIP 5165  ,1,6,5.1065,-46,43,6.566,3.32
HIP 54879 ,11,14,14.4409,+15,25,47.147,3.33
HIP 19780 ,4,14,25.4311,-62,28,26.324,3.33
HIP 38170 ,7,49,17.6587,-24,51,35.222,3.34
HIP 41704 ,8,30,16.0302,+60,43,6.352,3.35
HIP 32362 ,6,45,17.4336,+12,53,45.798,3.35
HIP 25281 ,5,24,28.6171,-2,23,49.698,3.35
HIP 8886  ,1,54,23.6835,+63,40,12.529,3.35
