name,ra1,ra2,ra3,dec1,dec2,dec3,vmag
HIP 71762 ,14,40,43.561,+16,25,5.885,4.49
HIP 34834 ,7,12,33.7409,-46,45,34.432,4.49
HIP 32249 ,6,43,59.2941,+13,13,41.315,4.49
HIP 107310,21,44,8.4045,+28,44,35.6,4.49
HIP 9480  ,2,1,57.5498,+70,54,25.366,4.49
HIP 21248 ,4,33,30.6295,-29,45,56.995,4.49
HIP 104234,21,7,7.6854,-25,0,20.693,4.49
HIP 96441 ,19,36,26.5424,+50,13,13.668,4.49
HIP 43105 ,8,46,42.5592,-56,46,11.27,4.5
HIP 99874 ,20,15,46.1574,+27,48,51.223,4.5
HIP 27530 ,5,49,49.5768,-56,9,59.359,4.5
HIP 50676 ,10,20,54.815,-56,2,35.606,4.5
HIP 67275 ,13,47,16.0366,+17,27,24.388,4.5
HIP 104459,21,9,35.5928,-11,22,17.957,4.5
HIP 57565 ,11,47,59.2264,+20,13,8.188,4.5
HIP 111944,22,40,30.7824,+44,16,34.61,4.5
HIP 109285,22,8,22.9532,-32,59,18.234,4.5
HIP 109754,22,13,52.7015,+39,42,53.601,4.5
HIP 106039,21,28,43.316,-21,48,25.8,4.5
HIP 26594 ,5,39,11.1459,+04,7,17.28,4.5
HIP 106723,21,37,4.8228,-19,27,57.649,4.51
HIP 98702 ,20,2,49.0472,+67,52,24.415,4.51
HIP 47391 ,9,39,21.0409,-61,19,41.179,4.51
HIP 46515 ,9,29,14.7375,-35,57,4.852,4.51
HIP 76852 ,15,41,33.0923,+19,40,13.82,4.51
HIP 102333,20,44,2.1867,-51,55,15.026,4.51
HIP 27483 ,5,49,10.4595,+39,10,52.08,4.51
HIP 117863,23,54,23.0373,+57,29,57.806,4.51
HIP 1473  ,0,18,19.7053,+36,47,7.178,4.51
HIP 5586  ,1,11,39.5867,+30,5,23.027,4.51
HIP 110838,22,27,19.8731,-64,57,58.965,4.51
HIP 65271 ,13,22,37.9798,-60,59,18.082,4.52
HIP 73745 ,15,4,26.8571,+26,56,51.575,4.52
HIP 65387 ,13,24,0.4434,-64,32,8.221,4.52
HIP 95176 ,19,21,43.622,-15,57,18.008,4.52
HIP 89112 ,18,11,13.7762,-45,57,15.577,4.52
HIP 13061 ,2,47,54.4415,+29,14,50.726,4.52
HIP 106140,21,29,56.8797,+23,38,19.785,4.52
HIP 111104,22,30,29.2616,+43,7,24.203,4.52
HIP 69974 ,14,19,6.6019,-13,22,16.199,4.52
HIP 102431,20,45,21.1966,+57,34,49.073,4.52
HIP 85365 ,17,26,37.9351,-5,5,11.371,4.53
HIP 28413 ,6,0,3.3454,-3,4,26.677,4.53
HIP 2487  ,0,31,33.3552,-62,57,55.619,4.53
HIP 87072 ,17,47,33.6271,-27,49,50.745,4.53
HIP 69483 ,14,13,28.9499,+51,47,23.966,4.53
HIP 114570,23,12,32.9229,+49,24,21.51,4.53
HIP 102589,20,47,24.527,+36,29,26.652,4.53
HIP 3881  ,0,49,48.8297,+41,4,44.237,4.53
HIP 37096 ,7,37,22.12,-34,58,6.854,4.53
HIP 46776 ,9,31,58.9348,-1,11,4.756,4.54
HIP 46977 ,9,34,28.9679,+69,49,48.555,4.54
HIP 114144,23,7,0.2558,+09,24,34.281,4.54
HIP 75304 ,15,23,9.3633,-36,51,30.371,4.54
HIP 72659 ,14,51,23.2842,+19,6,2.28,4.54
HIP 115919,23,29,9.2603,+12,45,37.773,4.54
HIP 74392 ,15,12,13.3122,-19,47,29.873,4.54
HIP 24727 ,5,18,10.5481,+33,22,19.215,4.54
HIP 98162 ,19,56,56.8249,-27,10,11.505,4.54
HIP 46952 ,9,34,13.377,+36,23,51.408,4.54
HIP 31416 ,6,35,3.3799,-22,57,53.399,4.54
HIP 23595 ,5,4,24.3118,-35,28,58.334,4.55
HIP 36425 ,7,29,47.7821,+12,0,23.8,4.55
HIP 76371 ,15,35,53.265,-44,57,30.013,4.55
HIP 48402 ,9,52,6.3602,+54,3,51.429,4.55
HIP 88839 ,18,8,4.963,-28,27,25.259,4.55
HIP 301   ,0,3,44.3724,-17,20,9.492,4.55
HIP 110609,22,24,30.9957,+49,28,35.043,4.55
HIP 107119,21,41,55.0761,+71,18,40.273,4.55
HIP 80079 ,16,20,38.1834,-24,10,9.423,4.55
HIP 33694 ,7,0,3.848,+76,58,38.789,4.55
HIP 16281 ,3,29,54.746,+58,52,43.509,4.55
HIP 110351,22,21,1.5283,+46,32,11.633,4.55
HIP 13328 ,2,51,30.8309,+35,3,35.619,4.56
HIP 70574 ,14,26,8.2351,-45,13,17.004,4.56
HIP 18597 ,3,58,44.7375,-61,24,0.542,4.56
HIP 104194,21,6,36.0881,+47,38,54.261,4.56
HIP 86092 ,17,35,39.6113,-46,30,20.127,4.56
HIP 27830 ,5,53,19.6436,+27,36,44.227,4.56
HIP 44700 ,9,6,31.7881,+38,27,8.101,4.56
HIP 103004,20,52,7.7256,+27,5,49.66,4.56
HIP 54951 ,11,15,12.2431,+23,5,43.891,4.56
HIP 86614 ,17,41,56.307,+72,8,58.197,4.57
HIP 94005 ,19,8,20.933,-40,29,47.895,4.57
HIP 16870 ,3,37,5.6781,-40,16,28.239,4.57
HIP 92818 ,18,54,44.8812,+22,38,42.265,4.57
HIP 80463 ,16,25,24.9296,+14,2,0.295,4.57
HIP 97886 ,19,53,27.6808,+24,4,46.292,4.57
HIP 80473 ,16,25,35.1211,-23,26,49.624,4.57
HIP 67627 ,13,51,25.9376,+64,43,23.818,4.58
HIP 26237 ,5,35,23.1617,-4,50,18.026,4.58
HIP 64425 ,13,12,17.6293,-59,55,13.931,4.58
HIP 52468 ,10,43,32.3077,-60,33,59.857,4.58
HIP 115250,23,20,38.2232,+23,44,25.293,4.58
HIP 48374 ,9,51,40.6884,-46,32,51.519,4.58
HIP 86284 ,17,37,50.7198,-8,7,7.397,4.58
HIP 79404 ,16,12,18.2117,-27,55,34.736,4.58
HIP 54751 ,11,12,36.0203,-60,19,3.471,4.59
HIP 46509 ,9,29,8.8388,-2,46,8.243,4.59
HIP 77840 ,15,53,36.7284,-25,19,37.489,4.59
HIP 50555 ,10,19,36.7652,-55,1,45.532,4.59
HIP 3245  ,0,41,19.576,-46,5,6.034,4.59
HIP 17351 ,3,42,50.122,-37,18,48.041,4.59
HIP 77512 ,15,49,35.698,+26,4,6.778,4.59
HIP 91926 ,18,44,22.7758,+39,36,45.344,4.59
HIP 117452,23,48,55.4799,-28,7,48.053,4.59
HIP 42527 ,8,40,12.8986,+64,19,40.338,4.59
HIP 17959 ,3,50,21.4758,+71,19,56.524,4.59
HIP 25473 ,5,26,50.2282,+03,5,44.438,4.59
HIP 96465 ,19,36,42.3891,-24,53,0.84,4.59
HIP 95081 ,19,20,40.072,+65,42,51.949,4.6
HIP 72125 ,14,45,14.4972,+16,57,51.851,4.6
HIP 75501 ,15,25,20.2524,-38,44,0.917,4.6
HIP 77760 ,15,52,40.1944,+42,26,59.957,4.6
HIP 53502 ,10,56,42.9963,-37,8,14.866,4.6
HIP 20070 ,4,18,14.5755,+50,17,44.302,4.6
HIP 49402 ,10,5,7.4925,-13,3,52.828,4.6
HIP 36145 ,7,26,42.8609,+49,12,41.922,4.61
HIP 8833  ,1,53,33.3366,+03,11,14.922,4.61
HIP 101474,20,33,54.1882,+35,15,3.113,4.61
HIP 1366  ,0,17,5.5356,+38,40,54.045,4.61
HIP 39095 ,7,59,52.0552,-18,23,56.913,4.61
HIP 443   ,0,5,20.1458,-5,42,28.197,4.61
HIP 14817 ,3,11,17.4015,+39,36,41.655,4.61
HIP 76219 ,15,34,10.5197,-10,3,50.255,4.61
HIP 4422  ,0,56,40.0105,+59,10,52.197,4.62
HIP 90982 ,18,33,30.1601,-42,18,44.851,4.62
HIP 63007 ,12,54,39.22,-59,8,47.995,4.62
HIP 92946 ,18,56,13.1603,+04,12,12.706,4.62
HIP 54182 ,11,5,1.2299,+07,20,10.041,4.62
HIP 56480 ,11,34,45.7119,-54,15,50.874,4.62
HIP 62327 ,12,46,22.7495,-56,29,19.607,4.62
HIP 18673 ,3,59,55.4761,-24,0,58.524,4.62
HIP 23497 ,5,3,5.7041,+21,35,24.222,4.62
HIP 25923 ,5,31,55.8603,-7,18,5.495,4.62
HIP 80628 ,16,27,48.227,-8,22,18.122,4.62
HIP 88175 ,18,0,28.9204,-3,41,24.58,4.62
HIP 44824 ,9,8,2.8572,-25,51,30.733,4.62
HIP 54301 ,11,6,32.4743,-62,25,26.892,4.62
HIP 73199 ,14,57,35.1191,+65,55,56.573,4.63
HIP 90797 ,18,31,22.4265,-62,16,41.488,4.63
HIP 37648 ,7,43,32.3956,-28,24,39.446,4.63
HIP 13914 ,2,59,12.7339,+21,20,25.601,4.63
HIP 118131,23,57,45.5496,+25,8,29.326,4.63
HIP 38500 ,7,53,3.6424,-49,36,47.086,4.63
HIP 61789 ,12,39,52.5614,-39,59,14.071,4.63
HIP 42835 ,8,43,40.3803,-7,14,1.42,4.63
HIP 45448 ,9,15,45.0695,-37,24,47.255,4.63
HIP 92512 ,18,51,12.0066,+59,23,17.84,4.63
HIP 77635 ,15,50,58.7536,-25,45,4.446,4.63
HIP 78662 ,16,3,32.221,-57,46,29.545,4.63
HIP 66738 ,13,40,44.2925,+54,40,53.981,4.63
HIP 101589,20,35,18.5082,+14,40,27.065,4.64
HIP 82369 ,16,49,49.9731,-10,46,58.082,4.64
HIP 88765 ,18,7,18.3543,+08,44,1.657,4.64
HIP 18216 ,3,53,42.683,-24,36,43.965,4.64
HIP 22845 ,4,54,53.7041,+10,9,4.122,4.64
HIP 67234 ,13,46,39.3684,-51,25,57.712,4.64
HIP 76829 ,15,41,11.5157,-44,39,38.013,4.64
HIP 84606 ,17,17,40.2859,+37,17,28.836,4.64
HIP 28716 ,6,3,55.1836,+20,8,18.451,4.64
HIP 111674,22,37,22.4658,+51,32,43.346,4.64
HIP 76669 ,15,39,22.6838,+36,38,8.979,4.64
HIP 113919,23,4,10.8318,+50,3,6.062,4.64
HIP 95585 ,19,26,31.0897,+00,20,18.872,4.64
HIP 51192 ,10,27,24.4783,-57,38,19.729,4.65
HIP 27890 ,5,54,5.9001,-63,5,27.675,4.65
HIP 23607 ,5,4,34.1384,+15,24,15.05,4.65
HIP 36917 ,7,35,22.9372,-28,22,9.401,4.65
HIP 58590 ,12,0,52.3903,+06,36,51.821,4.65
HIP 21273 ,4,33,50.8552,+14,50,40.155,4.65
HIP 78639 ,16,3,12.8602,-49,13,46.995,4.65
HIP 12719 ,2,43,27.1105,+27,42,25.815,4.65
HIP 36514 ,7,30,42.6101,-30,57,44.219,4.65
HIP 35363 ,7,18,18.4009,-36,44,2.28,4.65
HIP 61740 ,12,39,14.8125,-7,59,43.816,4.66
HIP 5571  ,1,11,27.1942,+21,2,4.832,4.66
HIP 44626 ,9,5,38.3821,-70,32,18.675,4.66
HIP 53295 ,10,53,58.706,+43,11,24.055,4.66
HIP 42806 ,8,43,17.2131,+21,28,6.946,4.66
HIP 31978 ,6,40,58.661,+09,53,44.737,4.66
HIP 62012 ,12,42,35.5611,-48,48,46.926,4.66
HIP 98543 ,20,1,6.0101,+27,45,12.83,4.66
HIP 33302 ,6,55,37.399,-20,8,11.737,4.66
HIP 76705 ,15,39,45.9749,-34,24,42.814,4.66
HIP 8497  ,1,49,35.1911,-10,41,10.251,4.66
HIP 90135 ,18,23,39.5538,-8,56,4.237,4.66
HIP 89678 ,18,18,3.1879,-27,2,33.484,4.66
HIP 35205 ,7,16,35.0014,-27,52,52.583,4.66
HIP 88567 ,18,5,1.2225,-29,34,48.274,4.66
HIP 88128 ,18,0,3.4207,+16,45,3.401,4.67
HIP 28910 ,6,6,9.334,-14,56,7.031,4.67
HIP 90595 ,18,29,11.8519,-14,33,56.898,4.67
HIP 5742  ,1,13,44.9352,+24,35,1.553,4.67
HIP 45075 ,9,10,54.9312,+63,30,49.611,4.67
HIP 103738,21,1,17.4617,-32,15,27.961,4.67
HIP 40167 ,8,12,12.7088,+17,38,53.295,4.67
HIP 21683 ,4,39,16.4519,+15,55,4.887,4.67
HIP 16244 ,3,29,22.0303,+49,30,32.469,4.67
HIP 91919 ,18,44,20.3373,+39,40,11.917,4.67
HIP 96100 ,19,32,20.5865,+69,39,55.446,4.67
HIP 19811 ,4,14,53.3102,+40,29,1.406,4.67
HIP 8928  ,1,54,56.0148,-67,38,50.932,4.68
HIP 7294  ,1,33,55.926,+59,13,55.548,4.68
HIP 43878 ,8,56,19.278,-52,43,24.639,4.68
HIP 52098 ,10,38,43.2126,+31,58,34.392,4.68
HIP 9677  ,2,4,29.4301,-29,17,48.623,4.68
HIP 106786,21,37,45.0421,-7,51,14.912,4.68
HIP 66234 ,13,34,27.3735,+49,0,57.262,4.68
HIP 96683 ,19,39,22.6043,+30,9,11.641,4.68
HIP 66006 ,13,31,57.946,-6,15,20.558,4.68
HIP 13879 ,2,58,45.6505,+39,39,46.179,4.68
HIP 47310 ,9,38,27.3851,+04,38,57.891,4.68
HIP 49029 ,10,0,12.8243,+08,2,39.397,4.68
HIP 112211,22,43,35.2526,-18,49,49.106,4.68
HIP 80047 ,16,20,20.8351,-78,41,44.362,4.68
HIP 20732 ,4,26,36.3768,+14,42,49.888,4.69
HIP 39211 ,8,1,13.2964,-1,23,32.727,4.69
HIP 108870,22,3,17.4396,-56,46,47.302,4.69
HIP 62268 ,12,45,37.9162,-60,58,52.178,4.69
HIP 52102 ,10,38,45.0125,-59,10,58.797,4.69
HIP 116389,23,35,4.5306,-42,36,54.364,4.69
HIP 37173 ,7,38,18.0474,-25,21,53.237,4.69
HIP 38089 ,7,48,20.2477,-47,4,39.115,4.69
HIP 107136,21,42,5.6597,+51,11,22.658,4.69
HIP 24813 ,5,19,8.0784,+40,6,2.402,4.69
HIP 104521,21,10,20.4711,+10,7,55.015,4.7
HIP 56633 ,11,36,40.9485,-9,48,8.113,4.7
HIP 113116,22,54,24.3843,+84,20,46.027,4.7
HIP 98066 ,19,55,50.225,-26,17,58.874,4.7
HIP 82671 ,16,53,59.7273,-42,21,43.271,4.7
HIP 56922 ,11,40,12.8204,-34,44,40.759,4.7
HIP 24927 ,5,20,26.9117,-21,14,23.062,4.7
HIP 91726 ,18,42,16.4221,-9,3,9.193,4.7
HIP 116247,23,33,16.6251,-20,54,52.29,4.7
HIP 23693 ,5,5,30.6904,-57,28,22.761,4.71
HIP 57283 ,11,44,45.7589,-18,21,2.213,4.71
HIP 63945 ,13,6,16.7304,-48,27,47.713,4.71
HIP 68191 ,13,57,38.9368,-63,41,11.818,4.71
HIP 25984 ,5,32,43.6742,+32,11,31.313,4.71
HIP 16245 ,3,29,22.1864,-62,56,18.364,4.71
HIP 13954 ,2,59,42.8963,+08,54,26.644,4.71
HIP 105140,21,17,56.2466,-32,10,20.948,4.71
HIP 45902 ,9,21,29.5988,-25,57,55.499,4.71
HIP 46026 ,9,23,12.3363,-28,50,2.123,4.71
HIP 25737 ,5,29,43.9816,-1,5,31.832,4.71
HIP 114375,23,9,54.8769,-22,27,27.333,4.71
HIP 97938 ,19,54,14.8218,+08,27,41.941,4.71
HIP 22667 ,4,52,31.9637,+14,15,2.802,4.71
HIP 58867 ,12,4,19.2377,-63,9,56.559,4.72
HIP 51438 ,10,30,20.0751,-71,59,33.792,4.72
HIP 6692  ,1,25,55.9042,+68,7,47.811,4.72
HIP 29276 ,6,10,17.9131,-54,58,7.178,4.72
HIP 60202 ,12,20,43.0931,+17,47,33.551,4.72
HIP 27639 ,5,51,2.4103,+37,18,20.454,4.72
HIP 64844 ,13,17,32.6371,+40,34,21.226,4.72
HIP 51056 ,10,25,54.8671,+33,47,46.549,4.72
HIP 40084 ,8,11,16.3213,-12,55,37.266,4.72
HIP 78592 ,16,2,47.8511,+46,2,12.674,4.72
HIP 46371 ,9,27,18.2974,-22,20,36.303,4.72
HIP 84514 ,17,16,36.7056,0,26,42.511,4.72
HIP 51658 ,10,33,13.9972,+40,25,31.946,4.72
HIP 25044 ,5,21,45.7477,0,22,56.889,4.72
HIP 107188,21,42,39.4172,-18,51,58.684,4.72
HIP 103045,20,52,39.2058,-8,58,59.656,4.73
HIP 53907 ,11,1,49.6689,-2,29,4.189,4.73
HIP 40096 ,8,11,25.8968,-42,59,14.24,4.73
HIP 78914 ,16,6,29.4236,-45,10,23.791,4.73
HIP 33202 ,6,54,38.5939,+13,10,40.859,4.73
HIP 79119 ,16,8,58.3286,+36,29,24.394,4.73
HIP 11313 ,2,25,37.401,+50,16,43.197,4.73
HIP 64924 ,13,18,24.972,-18,18,30.998,4.74
HIP 11783 ,2,32,5.2772,-15,14,39.552,4.74
HIP 15520 ,3,19,59.2568,+65,39,8.378,4.74
HIP 16341 ,3,30,37.0499,-5,4,30.588,4.74
HIP 69191 ,14,9,54.9566,-53,26,19.413,4.74
HIP 39903 ,8,9,0.8584,-61,18,6.141,4.74
HIP 42624 ,8,41,13.1401,-47,19,1.709,4.74
HIP 88116 ,17,59,47.5567,-23,48,57.641,4.74
HIP 6193  ,1,19,27.9779,+27,15,50.713,4.74
HIP 77661 ,15,51,15.9431,+20,58,40.352,4.74
HIP 116602,23,37,50.9353,-45,29,32.357,4.74
HIP 96052 ,19,31,46.321,+34,27,10.717,4.74
HIP 93542 ,19,3,6.8326,-42,5,41.98,4.74
HIP 12413 ,2,39,47.9193,-42,53,29.88,4.74
HIP 103632,20,59,49.5503,+47,31,15.402,4.74
HIP 44390 ,9,2,32.7259,+67,37,46.469,4.74
HIP 108874,22,3,18.8296,-2,9,19.209,4.74
HIP 2505  ,0,31,46.3179,+54,31,20.369,4.74
HIP 69713 ,14,16,10.0695,+51,22,1.25,4.75
HIP 115088,23,18,37.4069,+68,6,41.105,4.75
HIP 67786 ,13,53,12.5483,-31,55,39.31,4.75
HIP 101612,20,35,34.7682,-60,34,52.673,4.75
HIP 57581 ,11,48,14.4894,-66,48,53.535,4.75
HIP 35020 ,7,14,38.1445,-48,16,18.942,4.75
HIP 76880 ,15,41,56.8187,-19,40,42.868,4.75
HIP 76945 ,15,42,41.0371,-34,42,37.2,4.75
HIP 86486 ,17,40,23.7323,-49,24,54.557,4.76
HIP 114155,23,7,6.7392,+25,28,6.023,4.76
HIP 84969 ,17,21,59.5348,-67,46,14.339,4.76
HIP 13244 ,2,50,28.5368,-75,4,0.772,4.76
HIP 27750 ,5,52,26.4428,+01,51,18.568,4.76
HIP 70264 ,14,22,37.122,-58,27,32.97,4.76
HIP 63355 ,12,58,55.4659,+17,24,33.698,4.76
HIP 38901 ,7,57,40.1118,-30,20,4.513,4.76
HIP 94703 ,19,16,13.0396,+21,23,25.594,4.76
HIP 52370 ,10,42,14.144,-64,27,59.234,4.76
HIP 13288 ,2,51,2.3459,-21,0,14.324,4.76
HIP 2472  ,0,31,24.8561,-48,48,12.822,4.76
HIP 65639 ,13,27,27.2381,-15,58,25.071,4.76
HIP 67665 ,13,51,47.4895,+34,26,39.544,4.76
HIP 60485 ,12,24,1.4823,+51,33,44.025,4.76
HIP 106801,21,37,55.2268,+62,4,55.008,4.76
HIP 47522 ,9,41,17.026,-23,35,29.477,4.76
HIP 55266 ,11,19,7.9434,+38,11,8.6,4.76
HIP 29997 ,6,18,50.7798,+69,19,12.123,4.76
HIP 14382 ,3,5,32.4257,+56,42,19.973,4.77
HIP 86201 ,17,36,57.0899,+68,45,25.882,4.77
HIP 62985 ,12,54,21.1741,-9,32,20.207,4.77
HIP 90905 ,18,32,34.5223,+57,2,44.219,4.77
HIP 56127 ,11,30,18.8818,-3,0,12.452,4.77
HIP 112519,22,47,28.9474,+83,9,13.376,4.77
HIP 101027,20,28,51.6237,-17,48,49.206,4.77
HIP 100310,20,20,39.8067,-12,45,32.559,4.77
HIP 98761 ,20,3,33.4114,-37,56,25.768,4.77
HIP 26563 ,5,38,53.0918,-7,12,45.75,4.77
HIP 3455  ,0,44,11.4055,-10,36,33.385,4.77
HIP 88404 ,18,3,4.9107,-8,10,48.928,4.77
HIP 100044,20,17,47.2044,+38,1,58.61,4.77
HIP 45751 ,9,19,46.3988,-11,58,29.576,4.77
HIP 32533 ,6,47,19.8443,+08,2,14.218,4.77
HIP 26199 ,5,35,2.6812,-6,0,7.303,4.78
HIP 50564 ,10,19,44.3102,+19,28,17.169,4.78
HIP 4147  ,0,53,0.4905,-1,8,39.194,4.78
HIP 23231 ,4,59,55.7131,-12,32,13.936,4.78
HIP 122   ,0,1,35.851,-77,3,55.06,4.78
HIP 17587 ,3,46,2.3326,+63,20,42.244,4.78
HIP 92024 ,18,45,26.8562,-64,52,15.232,4.78
HIP 64852 ,13,17,36.2869,+05,28,11.442,4.78
HIP 70104 ,14,20,42.551,-45,11,12.773,4.78
HIP 85755 ,17,31,24.9509,-23,57,45.289,4.78
HIP 21029 ,4,30,33.5691,+16,11,38.672,4.78
HIP 40274 ,8,13,29.5224,-35,53,58.352,4.78
HIP 39847 ,8,8,27.5035,+51,30,24.033,4.78
HIP 87294 ,17,50,11.11,-40,5,25.542,4.78
HIP 60351 ,12,22,30.3192,+25,50,46.254,4.78
HIP 110371,22,21,19.3276,+28,19,49.857,4.78
HIP 9977  ,2,8,29.1458,+37,51,33.06,4.78
HIP 47758 ,9,44,12.1302,-27,46,10.426,4.78
HIP 70306 ,14,23,5.9078,-27,45,13.442,4.78
HIP 110882,22,27,51.477,+04,41,47.079,4.78
HIP 109400,22,9,48.367,+72,20,28.318,4.79
HIP 41039 ,8,22,31.6987,-48,29,25.431,4.79
HIP 87220 ,17,49,10.4733,-31,42,11.464,4.79
HIP 88149 ,18,0,15.7976,+04,22,7.128,4.79
HIP 9153  ,1,57,55.7754,+23,35,45.946,4.79
HIP 80815 ,16,30,12.4779,-25,6,54.574,4.79
HIP 1168  ,0,14,36.1081,+20,12,24.11,4.79
HIP 99824 ,20,15,15.8909,+25,35,31.089,4.79
HIP 22678 ,4,52,37.9992,+36,42,11.507,4.79
HIP 109908,22,15,36.8848,-41,20,48.301,4.79
HIP 77655 ,15,51,13.9374,+35,39,29.615,4.79
HIP 45856 ,9,20,56.8303,-62,24,16.679,4.79
HIP 64661 ,13,15,14.9978,-67,53,40.428,4.79
HIP 15197 ,3,15,50.0268,-8,49,11.426,4.8
HIP 45493 ,9,16,11.2788,+54,1,18.163,4.8
HIP 45811 ,9,20,29.026,-9,33,20.266,4.8
HIP 99639 ,20,13,18.042,+46,48,56.413,4.8
HIP 52502 ,10,44,6.9371,-63,57,39.963,4.8
HIP 45038 ,9,10,23.5262,+67,8,3.26,4.8
HIP 84573 ,17,17,19.5705,+33,6,0.411,4.8
HIP 112051,22,41,45.4097,+29,18,27.681,4.8
HIP 61394 ,12,34,51.1178,+22,37,45.083,4.8
HIP 69879 ,14,17,59.8161,+35,30,34.095,4.8
HIP 79881 ,16,18,17.9209,-28,36,49.594,4.8
HIP 73568 ,15,2,6.5121,+25,0,29.723,4.8
HIP 20542 ,4,24,5.6938,+17,26,39.162,4.8
HIP 103089,20,53,14.7453,+44,23,14.159,4.8
HIP 71995 ,14,43,25.3719,+26,31,40.407,4.8
HIP 64022 ,13,7,10.7079,+27,37,29.664,4.8
HIP 69112 ,14,8,51.009,+77,32,50.759,4.8
HIP 23364 ,5,1,26.3449,-7,10,26.321,4.8
HIP 105382,21,20,45.5836,-40,48,34.231,4.8
HIP 110672,22,25,16.6125,+01,22,38.613,4.8
HIP 31832 ,6,39,19.827,+42,29,20.444,4.8
HIP 4151  ,0,53,4.2793,+61,7,24.806,4.8
HIP 20354 ,4,21,33.1487,+46,29,56.266,4.8
HIP 3300  ,0,42,3.8842,+50,30,45.149,4.8
HIP 55687 ,11,24,36.6054,-10,51,33.778,4.81
HIP 70755 ,14,28,12.2203,-2,13,40.62,4.81
HIP 39138 ,8,0,19.9692,-63,34,3.01,4.81
HIP 28237 ,5,57,59.6577,+25,57,14.097,4.81
HIP 24010 ,5,9,41.9594,+15,35,50.178,4.81
HIP 24659 ,5,17,29.0234,-34,53,39.803,4.81
HIP 90289 ,18,25,21.0355,-20,32,29.793,4.81
HIP 101867,20,38,31.2924,+21,12,4.247,4.81
HIP 47029 ,9,35,3.8525,+39,37,17.195,4.81
HIP 24372 ,5,13,45.4269,-67,11,7.259,4.81
HIP 102724,20,48,56.2934,+46,6,50.907,4.81
HIP 51459 ,10,30,37.7643,+55,58,50.223,4.82
HIP 80179 ,16,22,4.44,+01,1,44.12,4.82
HIP 36773 ,7,33,47.9679,-14,31,26.044,4.82
HIP 69226 ,14,10,23.9485,+25,5,30.563,4.82
HIP 78554 ,16,2,17.6891,+22,48,15.824,4.82
HIP 110386,22,21,31.0713,+12,12,18.621,4.82
HIP 60710 ,12,26,31.7882,-51,27,2.201,4.82
HIP 116901,23,41,45.7974,-17,48,59.52,4.82
HIP 82321 ,16,49,14.1993,+45,59,0.412,4.82
HIP 9095  ,1,57,9.9929,-47,23,7.075,4.82
HIP 50799 ,10,22,19.606,-41,39,0.388,4.82
HIP 31827 ,6,39,16.7164,-14,8,44.688,4.82
HIP 115022,23,17,44.6163,+49,0,55.02,4.82
HIP 111123,22,30,38.815,-10,40,40.39,4.82
HIP 66458 ,13,37,27.6969,+36,17,41.427,4.82
HIP 24340 ,5,13,25.7316,+38,29,4.826,4.82
HIP 104019,21,4,24.3246,-19,51,17.752,4.82
HIP 83262 ,17,1,3.6255,-4,13,20.835,4.82
HIP 92782 ,18,54,23.7663,+71,17,49.522,4.82
HIP 90344 ,18,25,58.9879,+65,33,48.767,4.82
HIP 33092 ,6,53,32.9106,-20,13,27.349,4.82
HIP 12876 ,2,45,32.5326,-67,37,0.206,4.83
HIP 93026 ,18,57,3.6341,-5,50,46.371,4.83
HIP 4292  ,0,55,0.193,+58,58,22.068,4.83
HIP 40945 ,8,21,23.0343,-33,3,15.739,4.83
HIP 42726 ,8,42,25.4104,-53,6,50.546,4.83
HIP 92088 ,18,46,4.4681,+26,39,43.454,4.83
HIP 63724 ,13,3,33.3479,-49,31,38.051,4.83
HIP 35210 ,7,16,36.8369,-23,18,56.166,4.83
HIP 73695 ,15,3,47.6818,+47,39,14.451,4.83
HIP 74449 ,15,12,49.6047,-44,30,1.295,4.83
HIP 6813  ,1,27,39.0851,+45,24,25.03,4.83
HIP 34495 ,7,8,51.0764,-39,39,20.425,4.83
HIP 93174 ,18,58,43.474,-37,6,25.519,4.83
HIP 83574 ,17,4,49.3511,-34,7,22.521,4.83
HIP 80704 ,16,28,38.5249,+41,52,54.086,4.83
HIP 12390 ,2,39,33.7317,-11,52,17.694,4.83
HIP 82020 ,16,45,17.7897,+56,46,54.074,4.84
HIP 53807 ,11,0,33.6395,+03,37,3.121,4.84
HIP 19740 ,4,13,56.3909,+09,15,50.034,4.84
HIP 81008 ,16,32,36.3983,+11,29,17.642,4.84
HIP 57328 ,11,45,17.0048,+08,15,29.429,4.84
HIP 37297 ,7,39,27.354,-38,18,29.017,4.84
HIP 70027 ,14,19,45.3208,+16,18,24.484,4.84
HIP 112374,22,45,37.8521,-53,30,0.587,4.84
HIP 42134 ,8,35,19.6482,-58,0,33.461,4.84
HIP 26777 ,5,41,17.7154,+16,32,3.059,4.84
HIP 112203,22,43,29.9687,-41,24,50.826,4.84
HIP 10644 ,2,17,2.4176,+34,13,29.387,4.84
HIP 81660 ,16,40,55.1194,+64,35,20.708,4.84
HIP 98353 ,19,58,57.1763,-26,11,44.979,4.84
HIP 114104,23,6,36.8098,+59,25,11.153,4.84
HIP 7007  ,1,30,10.943,+06,8,38.159,4.84
HIP 15457 ,3,19,21.5389,+03,22,11.894,4.84
HIP 10340 ,2,13,13.3408,+44,13,54.081,4.84
HIP 74837 ,15,17,38.8878,-63,36,37.752,4.85
HIP 87846 ,17,56,47.4256,-44,20,31.915,4.85
HIP 93148 ,18,58,27.7552,-52,56,18.987,4.85
